GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
praktikum_diplom,stellarburgers.constants,TestBun,3,0,0,0,1,0,1,0,1,0
praktikum_diplom,stellarburgers.constants,TestIngredient,3,0,0,0,1,0,1,0,1,0
praktikum_diplom,stellarburgers,IngredientType,0,24,0,0,0,3,0,1,0,1
praktikum_diplom,stellarburgers,Database,0,106,0,0,0,15,0,3,0,3
praktikum_diplom,stellarburgers,Praktikum,59,0,0,0,14,0,2,0,2,0
praktikum_diplom,stellarburgers,Burger,0,133,0,4,0,23,0,9,0,7
praktikum_diplom,stellarburgers,Ingredient,0,21,0,0,0,8,0,4,0,4
praktikum_diplom,stellarburgers,Bun,0,15,0,0,0,6,0,3,0,3
